Date,Procedure,n_Procedure,Temperature,EventTarget,Day,2015,Month,Tareeq
1/5/2016,C,3,23,0,Tuesday,0,0.08333333333333333,0.16129032258064516
1/6/2016,A,3,23,0,Wednesday,0,0.08333333333333333,0.1935483870967742
1/6/2016,B,5,23,0,Wednesday,0,0.08333333333333333,0.1935483870967742
1/6/2016,C,6,23,0,Wednesday,0,0.08333333333333333,0.1935483870967742
1/7/2016,A,6,24,0,Thursday,0,0.08333333333333333,0.22580645161290322
1/7/2016,B,2,24,0,Thursday,0,0.08333333333333333,0.22580645161290322
1/7/2016,C,5,24,0,Thursday,0,0.08333333333333333,0.22580645161290322
1/8/2016,A,7,25,0,Friday,0,0.08333333333333333,0.25806451612903225
1/8/2016,B,2,25,0,Friday,0,0.08333333333333333,0.25806451612903225
1/8/2016,C,1,25,0,Friday,0,0.08333333333333333,0.25806451612903225
1/9/2016,A,8,28,0,Saturday,0,0.08333333333333333,0.2903225806451613
1/9/2016,B,3,28,0,Saturday,0,0.08333333333333333,0.2903225806451613
1/9/2016,C,2,28,0,Saturday,0,0.08333333333333333,0.2903225806451613
1/10/2016,A,6,21,0,Sunday,0,0.08333333333333333,0.3225806451612903
1/10/2016,B,4,21,0,Sunday,0,0.08333333333333333,0.3225806451612903
1/10/2016,C,4,21,0,Sunday,0,0.08333333333333333,0.3225806451612903
1/11/2016,A,5,23,0,Monday,0,0.08333333333333333,0.3548387096774194
1/11/2016,B,2,23,0,Monday,0,0.08333333333333333,0.3548387096774194
1/11/2016,C,1,23,0,Monday,0,0.08333333333333333,0.3548387096774194
1/12/2016,A,9,19,1,Tuesday,0,0.08333333333333333,0.3870967741935484
1/12/2016,B,1,19,1,Tuesday,0,0.08333333333333333,0.3870967741935484
1/12/2016,C,4,19,1,Tuesday,0,0.08333333333333333,0.3870967741935484
1/13/2016,A,5,22,2,Wednesday,0,0.08333333333333333,0.41935483870967744
1/13/2016,B,2,22,2,Wednesday,0,0.08333333333333333,0.41935483870967744
1/13/2016,C,5,22,2,Wednesday,0,0.08333333333333333,0.41935483870967744
1/14/2016,A,7,21,2,Thursday,0,0.08333333333333333,0.45161290322580644
1/14/2016,B,3,21,2,Thursday,0,0.08333333333333333,0.45161290322580644
1/14/2016,C,1,21,2,Thursday,0,0.08333333333333333,0.45161290322580644
1/15/2016,A,4,19,0,Friday,0,0.08333333333333333,0.4838709677419355
1/15/2016,B,1,19,0,Friday,0,0.08333333333333333,0.4838709677419355
